Phrase,Intent
hello,SmallTalk
hi there,SmallTalk
greetings,SmallTalk
how are you,SmallTalk
what is up,SmallTalk
bye,SmallTalk
goodbye,SmallTalk
later,SmallTalk
it is good,SmallTalk
it is bad,SmallTalk
i am good,SmallTalk
i am sad,SmallTalk
i am bored,SmallTalk
i am well,SmallTalk
good morning,SmallTalk
good evening,SmallTalk
good afternoon,SmallTalk
thank,SmallTalk
thanks,SmallTalk
nice to meet you,SmallTalk
what are you,SmallTalk
what can you do,SmallTalk
help,SmallTalk
can you help,SmallTalk
i need assistance,SmallTalk
i am lost,SmallTalk
my name is John,IdentityManagement
i am called Jane,IdentityManagement
you can call me Alex,IdentityManagement
who am i,IdentityManagement
what is my name,IdentityManagement
what is the date,QuestionAnswering
what day is it,QuestionAnswering
what is the current time,QuestionAnswering
tell me about,QuestionAnswering
who is the leader of country,QuestionAnswering
what do you know about this thing,QuestionAnswering
what are this and that,QuestionAnswering
what is thing,QuestionAnswering
who discovered the,QuestionAnswering
who invented the,QuestionAnswering
who did something,QuestionAnswering
how many,QuestionAnswering
opinion on,QuestionAnswering
feel about,QuestionAnswering
thoughts on,QuestionAnswering
think about,QuestionAnswering
