Question,Answer
what is the capital of france?,"The capital of France is Paris."
who invented the telephone?,"Alexander Graham Bell invented the telephone."
what is the largest planet in our solar system?,"Jupiter is the largest planet in the solar system."
when did the first man walk on the moon?,"The first man walked on the moon on July 20, 1969."
what is the chemical symbol for water?,"The chemical symbol for water is H₂O."
who wrote the play romeo and juliet?,"William Shakespeare wrote Romeo and Juliet."
how many sides does a triangle have?,"A triangle has three sides."
what is the main function of the heart?,"The main function of the heart is to pump blood throughout the body."
where is the great barrier reef located?,"The Great Barrier Reef is located off the coast of Queensland, Australia."
what is the speed of light in a vacuum?,"The speed of light in a vacuum is approximately 299,792,458 meters per second."
what is the process of photosynthesis?,"Photosynthesis is the process used by plants to convert light energy into chemical energy."
what is the current population of the world?,"The world's population is over 8 billion people."
who was the first president of the united states?,"George Washington was the first president of the United States."
what is the powerhouse of the cell?,"The mitochondrion is often called the powerhouse of the cell."
what year was the internet officially launched?,"The Internet, as a publicly available service, was effectively launched in 1991."
what is the boiling point of water?,"The boiling point of water is 100 degrees Celsius at standard atmospheric pressure."
how many continents are there on earth?,"There are seven continents on Earth."
what is the smallest prime number?,"The smallest prime number is 2."
what gas do humans exhale?,"Humans exhale carbon dioxide."
what is the hardest natural substance on earth?,"Diamond is the hardest natural substance on Earth."
who painted the mona lisa?,"Leonardo da Vinci painted the Mona Lisa."
what is the tallest mountain in the world?,"Mount Everest is the tallest mountain in the world."
what is the largest ocean on earth?,"The Pacific Ocean is the largest ocean on Earth."
how many planets are in our solar system?,"There are eight planets in our solar system."
who discovered penicillin?,"Alexander Fleming discovered penicillin."
what is the longest river in the world?,"The Nile River is the longest river in the world."
what is the smallest country in the world?,"Vatican City is the smallest country in the world."
what is the largest desert in the world?,"The Sahara Desert is the largest hot desert in the world."
who developed the theory of relativity?,"Albert Einstein developed the theory of relativity."
what language has the most native speakers?,"Mandarin Chinese has the most native speakers."
what is the currency of japan?,"The currency of Japan is the yen."
what is the freezing point of water?,"The freezing point of water is 0 degrees Celsius."
what is the chemical symbol for gold?,"The chemical symbol for gold is Au."
who discovered gravity?,"Sir Isaac Newton discovered gravity."
what is the largest mammal in the world?,"The blue whale is the largest mammal in the world."
what is the capital of canada?,"The capital of Canada is Ottawa."
how many bones are in the human body?,"The adult human body has 206 bones."
what is the main gas found in the air we breathe?,"Nitrogen is the main gas found in the air we breathe."
what is the square root of 64?,"The square root of 64 is 8."
what is the most widely spoken language in the world?,"English is the most widely spoken language in the world."
who was the first person to climb mount everest?,"Sir Edmund Hillary and Tenzing Norgay were the first to climb Mount Everest."
what organ in the human body filters blood?,"The kidneys filter blood in the human body."
what is the largest animal on land?,"The African elephant is the largest land animal."
who wrote the novel 1984?,"George Orwell wrote the novel 1984."
what is the main ingredient in guacamole?,"The main ingredient in guacamole is avocado."
what is the largest continent on earth?,"Asia is the largest continent on Earth."
what is the capital of italy?,"The capital of Italy is Rome."
who painted the ceiling of the sistine chapel?,"Michelangelo painted the ceiling of the Sistine Chapel."
what is the most common gas in the earth's atmosphere?,"Nitrogen is the most common gas in the Earth's atmosphere."
how many teeth does a normal adult human have?,"A normal adult human has 32 teeth."
who invented the light bulb?,"Thomas Edison is credited with inventing the practical light bulb."
what is the largest bone in the human body?,"The femur is the largest bone in the human body."
what is the chemical symbol for oxygen?,"The chemical symbol for oxygen is O."
what is the capital of australia?,"The capital of Australia is Canberra."
who is known as the father of computers?,"Charles Babbage is known as the father of computers."
who was the first woman to win a nobel prize?,"Marie Curie was the first woman to win a Nobel Prize."
what is the tallest building in the world?,"The Burj Khalifa in Dubai is the tallest building in the world."
what is the largest internal organ in the human body?,"The liver is the largest internal organ in the human body."
what is the main ingredient in bread?,"The main ingredient in bread is flour."
who discovered america?,"Christopher Columbus is often credited with discovering America in 1492."
what is the capital of germany?,"The capital of Germany is Berlin."
what is the smallest planet in our solar system?,"Mercury is the smallest planet in our solar system."
what is the largest island in the world?,"Greenland is the largest island in the world."
who was the first man to travel into space?,"Yuri Gagarin was the first man to travel into space."
what is the capital of egypt?,"The capital of Egypt is Cairo."
what is the chemical symbol for iron?,"The chemical symbol for iron is Fe."
what organ pumps blood through the body?,"The heart pumps blood through the body."
how many chambers does the human heart have?,"The human heart has four chambers."
what is the main source of energy for the earth?,"The Sun is the main source of energy for the Earth."
who wrote the harry potter series?,"J.K. Rowling wrote the Harry Potter series."
what is the capital of russia?,"The capital of Russia is Moscow."
what is the fastest land animal?,"The cheetah is the fastest land animal."
what is the largest planet's great red spot?,"The Great Red Spot is a massive storm on Jupiter."
who painted starry night?,"Vincent van Gogh painted Starry Night."
what is the national flower of japan?,"The cherry blossom is the national flower of Japan."
what is the capital of brazil?,"The capital of Brazil is Brasília."
how many colors are there in a rainbow?,"There are seven colors in a rainbow."
what is the smallest ocean in the world?,"The Arctic Ocean is the smallest ocean in the world."
who invented the airplane?,"The Wright brothers invented the airplane."
what is the capital of china?,"The capital of China is Beijing."
what is the largest organ of the human body?,"The skin is the largest organ of the human body."
who wrote pride and prejudice?,"Jane Austen wrote Pride and Prejudice."
